AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-89.9993419582,8.7070117642,90.0,90.0,0.0001,0.0,180,1.37668915762e-26,2.2483040148e-10,0,0,0,0,-1.43399977672e-05,0,0
-89.9993553017,8.72444784218,90.0,90.0,9.81684361111e-05,0.0,180,2.72816337376e-26,4.45542890515e-10,0,0,0,0,-2.84173493136e-05,0,0
-89.9993685389,8.74419366499,89.9998817612,90.0,9.6370418485e-05,0.0,180,4.05488447619e-26,6.62212889302e-10,-45,0,0,0,-4.22368651725e-05,0,0
-89.9992632657,8.76398602267,89.999765688,89.9998817612,9.46053327005e-05,0.0,180,4.3894293473e-16,8.74914438634e-10,-45,0.0,1,-30.0,-5.58032677694e-05,0,100.0
-89.9991646119,8.85279940493,89.9996517408,89.999765688,9.28725755898e-05,0.0,180,1.29285749221e-15,1.08372022319e-09,-45,0.0,1,-30.0,-6.91211930353e-05,0,100.0
-89.9990622885,8.86203322,89.9995398806,89.9996517408,9.11715550327e-05,0.0,180,2.53878966778e-15,1.28870159641e-09,-45,0.0,1,-30.0,-8.21951919911e-05,0,100.0
-89.9989602353,8.84691012479,89.8779208128,89.9995398806,8.95016897538e-05,0.0,180,4.15476314311e-15,1.4899286048e-09,-45,-15.0,1,-30.0,-9.50297323031e-05,0,100.0
-89.250716102,8.88951882789,89.636521491,89.8779208128,0.0973099490852,0.0,180,4.66159801398e-10,2.20271781197e-07,-45,-15.0,1,-30.0,-0.0140492495925,0,100.0
-88.3933346789,8.90231992056,89.2774468851,89.636521491,0.193148625111,0.0,180,3.22102180768e-09,6.54519872177e-07,-45,-15.0,1,-30.0,-0.0417463360696,0,100.0
-87.4181285888,8.85423102893,88.8035981825,89.2774468851,0.287303070775,0.0,180,1.13667691921e-08,1.30041315625e-06,-45,-15.0,1,-30.0,-0.0829431632512,0,100.0
-86.3551596904,8.87291263587,88.2169080304,88.8035981825,0.379136215969,0.0,180,2.91648501584e-08,2.15264080381e-06,-45,-15.0,1,-30.0,-0.13730263902,0,100.0
-85.1953533946,8.90117897158,87.5191428669,88.2169080304,0.469423009925,0.0,180,6.20046435741e-08,3.20753539968e-06,-45,-15.0,1,-30.0,-0.204594350556,0,100.0
-83.9296474445,8.90904136365,86.7123163756,87.5191428669,0.558296439865,0.0,180,1.1633759599e-07,4.4615790584e-06,-45,-15.0,1,-30.0,-0.284600275715,0,100.0
-82.5651611775,8.91193454231,85.7984734223,86.7123163756,0.645558679807,0.0,180,1.9957524333e-07,5.9106024488e-06,-45,-15.0,1,-30.0,-0.377064827634,0,100.0
-81.0811671671,8.86702109942,84.7803608222,85.7984734223,0.731184779848,0.0,180,3.20017078827e-07,7.5501101166e-06,-45,-15.0,1,-30.0,-0.48171685427,0,100.0
-79.5440171156,8.88885793561,83.6596770161,84.7803608222,0.814613095975,0.0,180,4.86635644598e-07,9.3740132911e-06,-45,-15.0,1,-30.0,-0.598190019355,0,100.0
-77.9989154134,9.03501094072,82.4364837641,83.6596770161,0.896682454146,0.0,180,7.09271820826e-07,1.13776970616e-05,-45,-15.0,1,-30.0,-0.726219978378,0,100.0
-76.2201730587,8.95979026256,81.1138576647,82.4364837641,0.978702396794,0.0,180,9.98902602539e-07,1.35589729521e-05,-45,-15.0,1,-30.0,-0.865707109308,0,100.0
-74.4081675734,8.95404902888,79.6941984958,81.1138576647,1.05826068895,0.0,180,1.36643520706e-06,1.59097066765e-05,-45,-15.0,1,-30.0,-1.01618269018,0,100.0
-72.6338969264,9.09232727718,78.1778292318,79.6941984958,1.13589886881,0.0,180,1.82332294768e-06,1.8422351283e-05,-45,-15.0,1,-30.0,-1.17722744139,0,100.0
-70.7907509441,9.23640679222,76.5654278739,78.1778292318,1.2132786301,0.0,180,2.38218439682e-06,2.1092308502e-05,-45,-15.0,1,-30.0,-1.348624842,0,100.0
-68.8002754424,9.28713953124,75.0141552478,76.5654278739,1.29011590858,0.0,180,3.05608848486e-06,2.39135096139e-05,-40,-15.0,1,-30.0,-1.53007989678,0,100.0
-66.9441300264,9.39546672091,73.3783885685,75.0141552478,1.36540412241,0.0,180,3.8498898624e-06,2.68789470047e-05,-40,-15.0,1,-30.0,-1.72123778429,0,100.0
-64.9764410034,9.44186021282,71.8069565793,73.3783885685,1.4397743695,0.0,180,4.77584756543e-06,2.99807365271e-05,-36,-15.0,1,-30.0,-1.92171294301,0,100.0
-63.2355845522,9.64137648138,70.1598359622,71.8069565793,1.51257696395,0.0,180,5.83762293441e-06,3.3211466639e-05,-36,-15.0,1,-30.0,-2.13114593735,0,100.0
-61.3768300137,9.76683462258,68.437802917,70.1598359622,1.58543081684,0.0,180,7.04741527058e-06,3.65644175751e-05,-36,-15.0,1,-30.0,-2.3492529289,0,100.0
-59.3829026821,9.79498019773,66.8652092627,68.437802917,1.65753754107,0.0,180,8.41699959035e-06,4.00302719293e-05,-31,-15.0,1,-30.0,-2.57559953825,0,100.0
-57.5611904077,9.82587267748,65.2304962721,66.8652092627,1.72749882389,0.0,180,9.9429834157e-06,4.36018798346e-05,-31,-15.0,1,-30.0,-2.80985999779,0,100.0
-55.7437047141,9.89278049011,63.535572075,65.2304962721,1.79573710017,0.0,180,1.16345127166e-05,4.726780783e-05,-31,-15.0,1,-30.0,-3.05147713472,0,100.0
-53.8193339429,9.87609028679,62.0975508324,63.535572075,1.86187929027,0.0,180,1.35000020773e-05,5.10152252355e-05,-25,-15.0,1,-30.0,-3.29981421714,0,100.0
-52.1929659683,9.89091410264,60.614186818,62.0975508324,1.92511917437,0.0,180,1.55254842872e-05,5.48403000465e-05,-25,-15.0,1,-30.0,-3.55473824591,0,100.0
-50.5448717137,9.89659863128,59.0868396178,60.614186818,1.98582080864,0.0,180,1.77162732703e-05,5.87305760975e-05,-25,-15.0,1,-30.0,-3.81562970097,0,100.0
-48.8929257613,9.91210388808,57.5173457252,59.0868396178,2.0447023271,0.0,180,2.00779861399e-05,6.26746545969e-05,-25,-15.0,1,-30.0,-4.08194614202,0,100.0
-47.3574455834,10.0479259767,55.9066742825,57.5173457252,2.10112528056,0.0,180,2.26149662338e-05,6.66595773671e-05,-25,-15.0,1,-30.0,-4.35304495459,0,100.0
-45.8144033024,10.190073928,54.7641516369,55.9066742825,2.15625081624,0.0,180,2.53324245018e-05,7.06742537427e-05,-17,-15.0,1,-30.0,-4.62841445783,0,100.0
-44.5950661157,10.2282312567,53.5941284618,54.7641516369,2.21090486027,0.0,180,2.82002871731e-05,7.47343128405e-05,-17,-15.0,1,-30.0,-4.90909780928,0,100.0
-43.339693212,10.2361668122,52.3986154077,53.5941284618,2.26412135838,0.0,180,3.1221466201e-05,7.88312613189e-05,-17,-15.0,1,-30.0,-5.19472965399,0,100.0
-42.1041831134,10.2563976685,51.4600576347,52.3986154077,2.31344703056,0.0,180,3.43951335022e-05,8.2952146297e-05,-13,-15.0,1,-30.0,-5.48463218391,0,100.0
-41.0927617097,10.2599795724,50.5036973119,51.4600576347,2.36055191012,0.0,180,3.77018617474e-05,8.7103330113e-05,-13,-15.0,1,-30.0,-5.77927172581,0,100.0
-40.1106245111,10.2888342063,49.6780880006,50.5036973119,2.40532682358,0.0,180,4.11414436585e-05,9.12764252579e-05,-11,-15.0,1,-30.0,-6.07825706238,0,100.0
-39.170580379,10.234606399,48.838999342,49.6780880006,2.44802762816,0.0,180,4.47029216943e-05,9.54727216349e-05,-11,-15.0,1,-30.0,-6.38175710174,0,100.0
-38.2581404686,10.200902303,47.9872748587,48.838999342,2.48799546065,0.0,180,4.83846134873e-05,9.96840646987e-05,-11,-15.0,3,-45.0,-6.68937441025,0,100.0
-37.3942944984,10.2072531083,44.7867524053,47.9872748587,2.52546215046,0.0,180,5.21848786049e-05,0.000103902802073,-45,-15.0,3,-45.0,-7.00074071535,0,100.0
-34.7478056097,10.3489883229,41.5452280566,44.7867524053,2.5608046734,0.0,180,5.6271146914e-05,0.000107958765891,-45,-15.0,3,-45.0,-7.30605699494,0,100.0
-32.1111500891,10.4940701249,38.2677998783,41.5452280566,2.59361114383,0.0,180,6.06354258161e-05,0.000111826099647,-45,-15.0,3,-45.0,-7.60374979897,0,100.0
-29.4708594644,10.6197677168,34.9640281183,38.2677998783,2.62233854568,0.0,180,6.52643744162e-05,0.00011547760083,-45,-15.0,3,-45.0,-7.89205711568,0,100.0
-26.8378747455,10.7167187734,31.6460590729,34.9640281183,2.64341659401,0.0,180,7.01349014691e-05,0.000118883425501,-45,-15.0,3,-45.0,-8.16887986642,0,100.0
-24.219963019,10.7768831056,28.332515207,31.6460590729,2.65477613777,0.0,180,7.52161255532e-05,0.000122015048872,-45,-15.0,3,-45.0,-8.43204319758,0,100.0
-21.7649380831,11.0010408451,25.034924659,28.332515207,2.65123545951,0.0,180,8.04628557254e-05,0.000124843963926,-45,-15.0,3,-45.0,-8.6791219293,0,100.0
-19.2437997656,11.0654028005,21.7720181791,25.034924659,2.63847087765,0.0,180,8.58376211069e-05,0.000127354247892,-45,-15.0,3,-45.0,-8.9085148195,0,100.0
-16.7747442492,11.116653437,18.5594021099,21.7720181791,2.61071943228,0.0,180,9.12886099077e-05,0.000129531400461,-45,-11.0,3,-45.0,-9.11846274218,0,100.0
-14.3823348322,11.2323378629,15.4056271565,18.5594021099,2.57048102729,0.0,180,9.67672794772e-05,0.000131370855836,-45,-11.0,3,-45.0,-9.30782489164,0,100.0
-12.0022011349,11.2916953983,12.3096156063,15.4056271565,2.52340102503,0.0,180,0.000102236803988,0.000132877991834,-45,-11.0,3,-45.0,-9.47620916125,0,100.0
-9.62815062898,11.2886732131,9.2703094857,12.3096156063,2.47718332308,0.0,180,0.000107678222222,0.000134065369524,-45,-5.0,3,-45.0,-9.6238951896,0,100.0
-7.27420154439,11.2468673952,6.28667019843,9.2703094857,2.43181212788,0.0,180,0.000113074266574,0.000134946134719,-45,-5.0,3,-45.0,-9.75121354859,0,100.0
-4.95610886094,11.2578363969,3.35767817093,6.28667019843,2.3872719351,0.0,180,0.000118409303089,0.000135533871948,-45,-5.0,3,-45.0,-9.85854208552,0,100.0
-2.6646720025,11.3484804231,0.482332503704,3.35767817093,2.3435475244,0.0,180,0.000123669265421,0.000135842472449,-45,-1.0,3,-45.0,-9.94630238654,0,100.0
-0.384641505439,11.3588064688,-2.3403493706,0.482332503704,2.30062395423,0.0,180,0.000128841584214,0.000135886015559,-45,-1.0,3,-45.0,-10.0149563373,0,100.0
1.87322989804,11.3123874006,-5.11133202299,-2.3403493706,2.25848655666,0.0,180,0.000133915113169,0.000135678662792,-45,-1.0,3,-45.0,-10.0650027612,0,100.0
4.10529144149,11.2500407253,-7.83156235776,-5.11133202299,2.21712093246,0.0,180,0.000138880052979,0.000135234563909,-45,0.0,3,-45.0,-10.0969741201,0,100.0
6.31954913314,11.2396116353,-10.501969936,-7.83156235776,2.17651294609,0.0,180,0.000143727874099,0.000134567774198,-45,0.0,3,-45.0,-10.1114332663,0,100.0
8.48674966728,11.0748125646,-13.1234672934,-10.501969936,2.13664872093,0.0,180,0.000148451239218,0.00013369218224,-45,0.0,3,-45.0,-10.1089702383,0,100.0
10.6659190307,11.1065879513,-15.6969502518,-13.1234672934,2.09751463452,0.0,180,0.000153043926175,0.000132621447373,-45,0.0,3,-45.0,-10.0901990965,0,100.0
12.8022096123,11.0311523074,-18.2232982257,-15.6969502518,2.05909731391,0.0,180,0.000157500751914,0.000131368946124,-45,3.0,3,-45.0,-10.0557547973,0,100.0
14.9375254036,11.0288241954,-20.7033745224,-18.2232982257,2.02138363108,0.0,180,0.000161817498029,0.000129947726887,-45,3.0,3,-45.0,-10.0062901081,0,100.0
17.016910849,10.9108647932,-23.1405620371,-20.7033745224,1.98436069843,0.0,180,0.000165990838288,0.000128370472117,-45,3.0,3,-45.0,-9.94247256812,0,100.0
19.0813757426,10.826075157,-25.5482052662,-23.1405620371,1.95004449076,0.0,180,0.000170022386354,0.000126647496768,-45,9.0,3,-45.0,-9.86488570006,0,100.0
21.0907993809,10.6899556224,-27.9341073931,-25.5482052662,1.92640549248,0.0,180,0.000173930044127,0.000124779602365,-45,9.0,3,-45.0,-9.77362470654,0,100.0
23.1137105623,10.64214418,-30.3158767974,-27.9341073931,1.90900998377,0.0,180,0.000177722000748,0.000122768973657,-45,12.0,3,-45.0,-9.66876919239,0,100.0
25.1186702716,10.6192660017,-32.7033753737,-30.3158767974,1.9057033064,0.0,180,0.000181420706511,0.000120606249398,-45,12.0,3,-45.0,-9.54969606828,0,100.0
27.1672560405,10.698397017,-35.1217256402,-32.7033753737,1.91028733617,0.0,180,0.000185034780098,0.000118285754718,-45,15.0,3,-45.0,-9.41587093987,0,100.0
29.2178789782,10.8227385741,-37.5838048341,-35.1217256402,1.9349724161,0.0,180,0.000188593114957,0.000115782898832,-45,15.0,3,-45.0,-9.2655214855,0,100.0
31.1736233242,10.7619259834,-40.0965327906,-37.5838048341,1.96996084166,0.0,180,0.000192102985647,0.000113081514649,-45,15.0,3,-45.0,-9.09720762083,0,100.0
33.2049100529,10.7916515136,-42.6631830108,-40.0965327906,2.01048597152,0.0,180,0.000195560747065,0.000110170166767,-45,15.0,1,30.0,-8.90969318519,0,100.0
35.2185306524,10.7411929315,-42.4690409509,-42.6631830108,2.05363029778,0.0,180,0.00019895599522,0.000107041159011,3,15.0,1,30.0,-8.70193837307,0,100.0
34.9040300277,10.7637305267,-42.1388841329,-42.4690409509,2.09874680144,0.0,180,0.00020243664945,0.000103855185227,5,15.0,1,30.0,-8.48836119982,0,100.0
34.457144547,10.7573916214,-41.8022525905,-42.1388841329,2.14321055499,0.0,180,0.000206009732769,0.000100622249327,5,15.0,1,30.0,-8.26967822829,0,100.0
34.0338223852,10.7760744784,-41.5277195856,-41.8022525905,2.18524118032,0.0,180,0.000209672192104,9.73473736399e-05,4,15.0,1,30.0,-8.04608942163,0,100.0
33.714000631,10.8583647988,-41.2480987716,-41.5277195856,2.22664315912,0.0,180,0.000213419987041,9.40283709692e-05,4,15.0,1,30.0,-7.81719782869,0,100.0
33.463712244,11.0397065974,-41.0345836937,-41.2480987716,2.26790863553,0.0,180,0.000217253690749,9.06665280951e-05,3,15.0,1,30.0,-7.58293639651,0,100.0
33.1989568152,11.1151857274,-40.8173601962,-41.0345836937,2.30817622442,0.0,180,0.000221168186703,8.72595582494e-05,3,15.0,1,30.0,-7.34287401411,0,100.0
32.8514955998,11.0759801984,-40.5965230754,-40.8173601962,2.3482655977,0.0,180,0.000225163783682,8.38085382515e-05,3,15.0,1,30.0,-7.09691047631,0,100.0
32.4889204881,11.0152047635,-40.372328881,-40.5965230754,2.38733018999,0.0,180,0.000229239341904,8.03157913644e-05,3,15.0,1,30.0,-6.8450298266,0,100.0
32.2387993952,11.0962636063,-40.2205941966,-40.372328881,2.42362138668,0.0,180,0.000233390697971,7.67861660878e-05,2,15.0,1,30.0,-6.58739946441,0,100.0
31.9927076638,11.0990740459,-40.0666652314,-40.2205941966,2.45983671474,0.0,180,0.000237613558592,7.32149695916e-05,2,15.0,1,30.0,-6.32337690405,0,100.0
31.844015133,11.2308694434,-39.9885822826,-40.0666652314,2.49540915152,0.0,180,0.0002419072048,6.96036510741e-05,1,15.0,1,30.0,-6.05286755967,0,100.0
31.7824529524,11.396615094,-39.9093757219,-39.9885822826,2.53128744482,0.0,180,0.000246267572086,6.59463489616e-05,1,15.0,1,30.0,-5.77510721812,0,100.0
31.5680630542,11.3557907871,-39.829075277,-39.9093757219,2.56771261416,0.0,180,0.000250695809395,6.22425364758e-05,1,15.0,1,30.0,-5.4898239091,0,100.0
31.501603292,11.5122855314,-39.7476659156,-39.829075277,2.60317407724,0.0,180,0.000255190461191,5.84938679926e-05,1,15.0,1,30.0,-5.19690414797,0,100.0
31.3245804605,11.5200495368,-39.6652180695,-39.7476659156,2.63912285043,0.0,180,0.000259752577588,5.46999102284e-05,1,15.0,1,30.0,-4.89606401302,0,100.0
31.1937775645,11.5808041438,-39.5817374189,-39.6652180695,2.67278837354,0.0,180,0.00026437841416,5.08642080276e-05,1,15.0,1,30.0,-4.58732837509,0,100.0
30.9927416209,11.5462281672,-39.4972504722,-39.5817374189,2.70626975836,0.0,180,0.000269067851187,4.69872853463e-05,1,15.0,1,30.0,-4.27047879208,0,100.0
30.8734139507,11.6177831372,-39.4117599487,-39.4972504722,2.73889178934,0.0,180,0.000273819596388,4.30706318461e-05,1,15.0,1,30.0,-3.9453682032,0,100.0
30.8526257129,11.8225289432,-39.4117599487,-39.4117599487,2.77142567408,0.0,180,0.00027863369319,3.91146331012e-05,0,15.0,1,30.0,-3.61175111078,0,100.0
30.8426694223,11.9511910922,-39.4117599487,-39.4117599487,2.80482111446,0.0,180,0.000283505799443,3.51109649125e-05,0,15.0,1,30.0,-3.26853895854,0,100.0
30.782170355,12.0106264727,-39.4117599487,-39.4117599487,2.83852074705,0.0,180,0.000288436443544,3.10591930689e-05,0,15.0,1,30.0,-2.91537552034,0,100.0
30.7578044549,12.118441577,-39.4117599487,-39.4117599487,2.87202622603,0.0,180,0.000293425288238,2.69595947099e-05,0,15.0,1,30.0,-2.55195242706,0,100.0
30.6589655778,12.1230780395,-39.4117599487,-39.4117599487,2.90568548703,0.0,180,0.000298472600653,2.28119503234e-05,0,15.0,1,30.0,-2.17790409217,0,100.0
30.6239870695,12.2126540161,-39.4117599487,-39.4117599487,2.93876126072,0.0,180,0.000303577367242,1.86170927929e-05,0,15.0,1,30.0,-1.7929467235,0,100.0
30.5191148029,12.2057423327,-39.4117599487,-39.4117599487,2.97186885586,0.0,180,0.000308739643283,1.43749766958e-05,0,15.0,1,30.0,-1.39670447244,0,100.0
30.4056139341,12.1847806547,-39.4117599487,-39.4117599487,3.00432086506,0.0,180,0.00031395828999,1.0086537831e-05,0,15.0,1,30.0,-0.988880233702,0,100.0
30.2680588938,12.1225734896,-39.4117599487,-39.4117599487,3.03424971038,0.0,180,0.00031922892451,5.7553778225e-06,0,15.0,1,30.0,-0.569428439796,0,100.0
30.0466459461,11.9513744576,-39.4117599487,-39.4117599487,3.06319666809,0.0,180,0.000324549841257,1.38289823995e-06,0,15.0,1,30.0,-0.138094997778,0,100.0
